player_id,player_display_name,position,recent_team,season,week,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,racr,target_share,air_yards_share,wopr,fantasy_points,fantasy_points_ppr
00-0001477,Marty Booker,WR,MIA,2006,14,3.93,3.93,53.357143,0.43,32.07143,21.285715,2.5714285,2.1899803,0.19831023,0.25703174,0.47738755,8.328571,12.257143
00-0001477,Marty Booker,WR,MIA,2007,15,3.33,3.33,37.066666,0.07,28.6,8.466666,1.8666667,1.3650016,0.17358224,0.24503279,0.43189633,4.0533333,7.386667
00-0001477,Marty Booker,WR,CHI,2008,8,1.75,2.0,26.375,0.25,21.125,11.875,1.125,1.6727651,0.092161424,0.13084717,0.22983515,4.175,5.925
00-0001477,Marty Booker,WR,ATL,2009,12,1.33,2.67,15.083333,0.08,24.25,4.5833335,0.75,0.54623294,0.08166996,0.10082288,0.19308095,2.0666666,3.4
00-0001532,David Boston,WR,ARI,2002,8,4.0,9.38,64.0,0.12,0.0,0.0,3.5,0.0,0.2805318,0.0,0.0,7.5125,11.5125
00-0001532,David Boston,WR,LAC,2003,14,5.0,8.21,62.857143,0.5,0.0,0.0,3.0,0.0,0.25735033,0.0,0.0,9.271428,14.271429
00-0001532,David Boston,WR,MIA,2005,3,1.33,1.33,26.666666,0.0,0.0,0.0,0.6666667,0.0,0.068055555,0.0,0.0,2.6666667,4.0
00-0001627,Corey Bradford,WR,HOU,2002,16,2.81,6.62,43.5625,0.38,0.0,0.0,1.5,0.0,0.26075736,0.0,0.0,6.5375,9.35
00-0001627,Corey Bradford,WR,HOU,2003,15,1.6,4.13,30.666666,0.27,0.0,0.0,1.0666667,0.0,0.14790422,0.0,0.0,4.666667,6.266667
00-0001627,Corey Bradford,WR,HOU,2004,14,1.93,3.86,28.5,0.21,0.0,0.0,1.4285715,0.0,0.13166322,0.0,0.0,4.135714,6.0642858
00-0001627,Corey Bradford,WR,HOU,2005,12,2.83,3.17,36.333332,0.42,0.0,0.0,1.5,0.0,0.1540758,0.0,0.0,6.2833333,9.116667
00-0001627,Corey Bradford,WR,DET,2006,6,2.33,2.33,27.333334,0.0,21.666666,5.6666665,1.5,2.7874935,0.096414454,0.1320563,0.2370611,2.7333333,5.0666666
00-0001661,Kyle Brady,TE,JAX,2002,16,2.69,4.19,28.8125,0.25,0.0,0.0,1.625,0.0,0.15103185,0.0,0.0,4.38125,7.06875
00-0001661,Kyle Brady,TE,JAX,2003,16,1.81,2.88,17.5625,0.06,0.0,0.0,1.0,0.0,0.088038065,0.0,0.0,2.00625,3.81875
00-0001661,Kyle Brady,TE,JAX,2004,10,1.4,2.3,10.3,0.1,0.0,0.0,0.6,0.0,0.0747977,0.0,0.0,1.63,3.03
00-0001661,Kyle Brady,TE,JAX,2005,11,1.73,1.73,14.363636,0.09,0.0,0.0,0.54545456,0.0,0.08569532,0.0,0.0,1.6181818,3.3454547
00-0001661,Kyle Brady,TE,JAX,2006,5,1.0,1.0,7.4,0.0,4.6,2.8,0.4,0.74888885,0.07085562,0.069940604,0.15524185,0.74,1.74
