player_id,player_display_name,season,position,position_group,week,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0000722,Tony Banks,2003,QB,QB,6,HOU,10.17,17.0,115.5,0.83,0.5,2.1666667,9.5,0.17,0.0,0.0,0.0,5.6666665,0.5891512,0.0,0.0,0.117459394,1.0,4.5,0.0,0.0,0.0,0.33333334,0.91776305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,7.403333,7.403333
00-0000722,Tony Banks,2004,QB,QB,2,HOU,0.5,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.54575264,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.32,0.32
00-0000722,Tony Banks,2005,QB,QB,1,HOU,14.0,25.0,173.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-3.6937788,0.0,0.0,0.032035828,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,6.72,6.72
00-0000741,Ronde Barber,2009,FS,DB,1,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,1.0,6.0,6.0
00-0000745,Tiki Barber,2002,RB,RB,17,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,19.41,88.35294,0.71,0.29411766,0.29411766,4.470588,-1.9418039,0.0,4.35,5.88,38.764706,0.0,0.23529412,0.05882353,0.0,0.0,1.4705882,0.04223438,0.0,0.0,0.17278722,0.0,0.0,0.0,16.241177,20.594118
00-0000745,Tiki Barber,2003,RB,RB,16,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,17.38,76.0,0.12,0.375,0.3125,4.125,-2.2762532,0.06,4.31,6.12,28.8125,0.06,0.1875,0.0625,0.0,0.0,1.625,-0.46390012,0.0,0.0,0.16479266,0.0,0.0,0.0,10.98125,15.29375
00-0000745,Tiki Barber,2004,RB,RB,16,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,20.12,94.875,0.81,0.3125,0.125,4.8125,-0.07602196,0.0,3.25,4.94,36.125,0.12,0.0,0.0,0.0,0.0,1.125,1.2163917,0.0,0.0,0.17998125,0.0,0.0,0.0,18.475,21.725
00-0000745,Tiki Barber,2005,RB,RB,17,NYG,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5911076,0.0,,,21.76,111.82353,0.53,0.05882353,0.05882353,4.2941175,0.36663252,0.06,3.35,3.59,32.82353,0.12,0.0,0.0,0.0,0.0,1.1764706,2.5527809,0.0,0.0,0.18333535,0.0,0.0,0.0,18.34706,21.7
00-0000745,Tiki Barber,2006,RB,RB,17,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,20.76,105.82353,0.29,0.1764706,0.05882353,4.9411764,0.72126746,0.0,3.53,3.82,28.235294,0.0,0.0,0.0,0.7058824,27.82353,1.3529412,0.9650841,0.0,4.495578,0.20072445,-0.015177302,0.29046255,0.0,15.052941,18.582354
00-0000754,Bryan Barker,2003,P,SPEC,1,WAS,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2918549,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.12,0.12
00-0000765,Reggie Barlow,2002,WR,WR,2,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.5,2.5,11.5,0.0,0.0,0.0,0.0,0.0,1.0,0.42296237,0.0,0.0,0.07862903,0.0,0.0,0.0,1.15,2.65
00-0000765,Reggie Barlow,2003,WR,WR,4,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.75,1.5,6.75,0.25,0.25,0.25,0.0,0.0,0.25,-1.0524775,0.0,0.0,0.04008067,0.0,0.0,0.0,1.6750001,2.425
